metric_name,metric_category,metric_type,data_provider
any_critical_controversy,Controversy Metrics,boolean,Clarity.ai
controv_access_to_basic_services,Controversy Metrics,float,Clarity.ai
controv_accounting_and_taxation,Controversy Metrics,float,Clarity.ai
controv_animal_welfare,Controversy Metrics,float,Clarity.ai
controv_animal_welfare_sc,Controversy Metrics,float,Clarity.ai
controv_anticompetitive_practices,Controversy Metrics,float,Clarity.ai
controv_bribery_and_corruption,Controversy Metrics,float,Clarity.ai
controv_bribery_and_corruption_sc,Controversy Metrics,float,Clarity.ai
controv_business_ethics,Controversy Metrics,float,Clarity.ai
controv_business_ethics_sc,Controversy Metrics,float,Clarity.ai
controv_carbon_impact_of_products,Controversy Metrics,float,Clarity.ai
controv_community_relations,Controversy Metrics,float,Clarity.ai
controv_community_relations_sc,Controversy Metrics,float,Clarity.ai
controv_corporate_governance,Controversy Metrics,float,Clarity.ai
controv_data_privacy_and_security,Controversy Metrics,float,Clarity.ai
controv_emissions_effluents_and_waste,Controversy Metrics,float,Clarity.ai
controv_emissions_effluents_and_waste_sc,Controversy Metrics,float,Clarity.ai
controv_employees_human_rights,Controversy Metrics,float,Clarity.ai
controv_employees_human_rights_sc,Controversy Metrics,float,Clarity.ai
controv_energy_use_and_ghg_emissions,Controversy Metrics,float,Clarity.ai
controv_energy_use_and_ghg_emissions_sc,Controversy Metrics,float,Clarity.ai
controv_environmental_impact_of_products,Controversy Metrics,float,Clarity.ai
controv_intellectual_property,Controversy Metrics,float,Clarity.ai
controv_labour_relations,Controversy Metrics,float,Clarity.ai
controv_labour_relations_sc,Controversy Metrics,float,Clarity.ai
controv_land_use_and_biodiversity,Controversy Metrics,float,Clarity.ai
controv_land_use_and_biodiversity_sc,Controversy Metrics,float,Clarity.ai
controv_lobbying_and_public_policy,Controversy Metrics,float,Clarity.ai
controv_marketing_practices,Controversy Metrics,float,Clarity.ai
controv_media_ethics,Controversy Metrics,float,Clarity.ai
controv_occupational_health_and_safety,Controversy Metrics,float,Clarity.ai
controv_occupational_health_and_safety_sc,Controversy Metrics,float,Clarity.ai
controv_quality_and_safety,Controversy Metrics,float,Clarity.ai
controv_sanctions,Controversy Metrics,float,Clarity.ai
controv_social_impact_of_products,Controversy Metrics,float,Clarity.ai
controv_society_human_rights,Controversy Metrics,float,Clarity.ai
controv_society_human_rights_sc,Controversy Metrics,float,Clarity.ai
controv_water_use,Controversy Metrics,float,Clarity.ai
controv_water_use_sc,Controversy Metrics,float,Clarity.ai
controv_weapons,Controversy Metrics,float,Clarity.ai
critical_controv_access_to_basic_services,Controversy Metrics,boolean,Clarity.ai
critical_controv_accounting_and_taxation,Controversy Metrics,boolean,Clarity.ai
critical_controv_animal_welfare,Controversy Metrics,boolean,Clarity.ai
critical_controv_animal_welfare_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_anticompetitive_practices,Controversy Metrics,boolean,Clarity.ai
critical_controv_bribery_and_corruption,Controversy Metrics,boolean,Clarity.ai
critical_controv_bribery_and_corruption_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_business_ethics,Controversy Metrics,boolean,Clarity.ai
critical_controv_business_ethics_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_carbon_impact_of_products,Controversy Metrics,boolean,Clarity.ai
critical_controv_community_relations,Controversy Metrics,boolean,Clarity.ai
critical_controv_community_relations_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_corporate_governance,Controversy Metrics,boolean,Clarity.ai
critical_controv_data_privacy_and_security,Controversy Metrics,boolean,Clarity.ai
critical_controv_emissions_effluents_and_waste,Controversy Metrics,boolean,Clarity.ai
critical_controv_emissions_effluents_and_waste_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_employees_human_rights,Controversy Metrics,boolean,Clarity.ai
critical_controv_employees_human_rights_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_energy_use_and_ghg_emissions,Controversy Metrics,boolean,Clarity.ai
critical_controv_energy_use_and_ghg_emissions_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_environmental_impact_of_products,Controversy Metrics,boolean,Clarity.ai
critical_controv_intellectual_property,Controversy Metrics,boolean,Clarity.ai
critical_controv_labour_relations,Controversy Metrics,boolean,Clarity.ai
critical_controv_labour_relations_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_land_use_and_biodiversity,Controversy Metrics,boolean,Clarity.ai
critical_controv_land_use_and_biodiversity_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_lobbying_and_public_policy,Controversy Metrics,boolean,Clarity.ai
critical_controv_marketing_practices,Controversy Metrics,boolean,Clarity.ai
critical_controv_media_ethics,Controversy Metrics,boolean,Clarity.ai
critical_controv_occupational_health_and_safety,Controversy Metrics,boolean,Clarity.ai
critical_controv_occupational_health_and_safety_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_quality_and_safety,Controversy Metrics,boolean,Clarity.ai
critical_controv_sanctions,Controversy Metrics,boolean,Clarity.ai
critical_controv_social_impact_of_products,Controversy Metrics,boolean,Clarity.ai
critical_controv_society_human_rights,Controversy Metrics,boolean,Clarity.ai
critical_controv_society_human_rights_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_water_use,Controversy Metrics,boolean,Clarity.ai
critical_controv_water_use_sc,Controversy Metrics,boolean,Clarity.ai
critical_controv_weapons,Controversy Metrics,boolean,Clarity.ai
e_score,ESG Score Rating,float,Clarity.ai
esg_rating,ESG Score Rating,string,Clarity.ai
esg_score,ESG Score Rating,int,Clarity.ai
esg_score_relevance,ESG Score Rating,float,Clarity.ai
g_score,ESG Score Rating,int,Clarity.ai
global_sustainability_rating,ESG Score Rating,string,Clarity.ai
s_score,ESG Score Rating,int,Clarity.ai
sustainability_rating,ESG Score Rating,string,Clarity.ai
exp_abortifacents_part,Expousure Metrics,bool,Clarity.ai
exp_agrochemical_products_part,Expousure Metrics,bool,Clarity.ai
exp_agrochemical_products_prod,Expousure Metrics,bool,Clarity.ai
exp_alchol_prod,Expousure Metrics,bool,Clarity.ai
exp_alcohol_part,Expousure Metrics,bool,Clarity.ai
exp_animal_testing_cosmetic_part,Expousure Metrics,bool,Clarity.ai
exp_animal_testing_part,Expousure Metrics,bool,Clarity.ai
exp_antip_landmines_part,Expousure Metrics,bool,Clarity.ai
exp_armament_part,Expousure Metrics,bool,Clarity.ai
exp_armament_prod,Expousure Metrics,bool,Clarity.ai
exp_artic_oil_part,Expousure Metrics,bool,Clarity.ai
exp_cannabis_part,Expousure Metrics,bool,Clarity.ai
exp_chemic_biolog_weapons_part,Expousure Metrics,bool,Clarity.ai
exp_cluster_bombs_part,Expousure Metrics,bool,Clarity.ai
exp_cluster_bombs_prod,Expousure Metrics,bool,Clarity.ai
exp_coal_mining_part,Expousure Metrics,bool,Clarity.ai
exp_coal_mining_prod,Expousure Metrics,bool,Clarity.ai
exp_coal_power_gen_part,Expousure Metrics,bool,Clarity.ai
exp_coal_power_gen_prod,Expousure Metrics,bool,Clarity.ai
exp_contraceptives_part,Expousure Metrics,bool,Clarity.ai
exp_depleted_uranium_part,Expousure Metrics,bool,Clarity.ai
exp_embryonic_stem_cell_research_part,Expousure Metrics,bool,Clarity.ai
exp_fossil_fuels_part,Expousure Metrics,bool,Clarity.ai
exp_fossil_fuels_prod,Expousure Metrics,bool,Clarity.ai
exp_fur_exotic_leather_part,Expousure Metrics,bool,Clarity.ai
exp_gambling_part,Expousure Metrics,bool,Clarity.ai
exp_gambling_prod,Expousure Metrics,bool,Clarity.ai
exp_gas_fuels_part,Expousure Metrics,bool,Clarity.ai
exp_gas_fuels_prod,Expousure Metrics,bool,Clarity.ai
exp_gmo_products_part,Expousure Metrics,bool,Clarity.ai
exp_gmo_research_part,Expousure Metrics,bool,Clarity.ai
exp_meat_products_part,Expousure Metrics,bool,Clarity.ai
exp_meat_products_prod,Expousure Metrics,bool,Clarity.ai
exp_nuclear_energy_part,Expousure Metrics,bool,Clarity.ai
exp_nuclear_energy_prod,Expousure Metrics,bool,Clarity.ai
exp_nuclear_weapons_part,Expousure Metrics,bool,Clarity.ai
exp_nuclear_weapons_prod,Expousure Metrics,bool,Clarity.ai
exp_oil_fuels_part,Expousure Metrics,bool,Clarity.ai
exp_oil_fuels_prod,Expousure Metrics,bool,Clarity.ai
exp_oil_sands_part,Expousure Metrics,bool,Clarity.ai
exp_oil_sands_prod,Expousure Metrics,bool,Clarity.ai
exp_palm_oil_part,Expousure Metrics,bool,Clarity.ai
exp_pork_products_part,Expousure Metrics,bool,Clarity.ai
exp_pork_products_prod,Expousure Metrics,bool,Clarity.ai
exp_pornography_part,Expousure Metrics,bool,Clarity.ai
exp_predatory_lending_part,Expousure Metrics,bool,Clarity.ai
exp_shale_energy_part,Expousure Metrics,bool,Clarity.ai
exp_shale_energy_prod,Expousure Metrics,bool,Clarity.ai
exp_small_arms_part,Expousure Metrics,bool,Clarity.ai
exp_stem_cell_research,Expousure Metrics,bool,Clarity.ai
exp_thermal_coal_prod,Expousure Metrics,bool,Clarity.ai
exp_tobacco_part,Expousure Metrics,bool,Clarity.ai
exp_tobacco_prod,Expousure Metrics,bool,Clarity.ai
exp_white_phosporus_part,Expousure Metrics,bool,Clarity.ai
maxexp_abortifacents_part,Expousure Metrics,float,Clarity.ai
maxexp_agrochemical_products_part,Expousure Metrics,float,Clarity.ai
maxexp_agrochemical_products_prod,Expousure Metrics,float,Clarity.ai
maxexp_alchol_prod,Expousure Metrics,float,Clarity.ai
maxexp_alcohol_part,Expousure Metrics,float,Clarity.ai
maxexp_animal_testing_cosmetic_part,Expousure Metrics,float,Clarity.ai
maxexp_animal_testing_part,Expousure Metrics,float,Clarity.ai
maxexp_antip_landmines_part,Expousure Metrics,float,Clarity.ai
maxexp_armament_part,Expousure Metrics,float,Clarity.ai
maxexp_armament_prod,Expousure Metrics,float,Clarity.ai
maxexp_artic_oil_part,Expousure Metrics,float,Clarity.ai
maxexp_cannabis_part,Expousure Metrics,float,Clarity.ai
maxexp_chemic_biolog_weapons_part,Expousure Metrics,float,Clarity.ai
maxexp_cluster_bombs_part,Expousure Metrics,float,Clarity.ai
maxexp_cluster_bombs_prod,Expousure Metrics,float,Clarity.ai
maxexp_coal_mining_part,Expousure Metrics,float,Clarity.ai
maxexp_coal_mining_prod,Expousure Metrics,float,Clarity.ai
maxexp_coal_power_gen_part,Expousure Metrics,float,Clarity.ai
maxexp_coal_power_gen_prod,Expousure Metrics,float,Clarity.ai
maxexp_contraceptives_part,Expousure Metrics,float,Clarity.ai
maxexp_depleted_uranium_part,Expousure Metrics,float,Clarity.ai
maxexp_embryonic_stem_cell_research_part,Expousure Metrics,float,Clarity.ai
maxexp_fossil_fuels_part,Expousure Metrics,float,Clarity.ai
maxexp_fossil_fuels_prod,Expousure Metrics,float,Clarity.ai
maxexp_fur_exotic_leather_part,Expousure Metrics,float,Clarity.ai
maxexp_gambling_part,Expousure Metrics,float,Clarity.ai
maxexp_gambling_prod,Expousure Metrics,float,Clarity.ai
maxexp_gas_fuels_part,Expousure Metrics,float,Clarity.ai
maxexp_gas_fuels_prod,Expousure Metrics,float,Clarity.ai
maxexp_gmo_products_part,Expousure Metrics,float,Clarity.ai
maxexp_gmo_research_part,Expousure Metrics,float,Clarity.ai
maxexp_meat_products_part,Expousure Metrics,float,Clarity.ai
maxexp_meat_products_prod,Expousure Metrics,float,Clarity.ai
maxexp_nuclear_energy_part,Expousure Metrics,float,Clarity.ai
maxexp_nuclear_energy_prod,Expousure Metrics,float,Clarity.ai
maxexp_nuclear_weapons_part,Expousure Metrics,float,Clarity.ai
maxexp_nuclear_weapons_prod,Expousure Metrics,float,Clarity.ai
maxexp_oil_fuels_part,Expousure Metrics,float,Clarity.ai
maxexp_oil_fuels_prod,Expousure Metrics,float,Clarity.ai
maxexp_oil_sands_part,Expousure Metrics,float,Clarity.ai
maxexp_oil_sands_prod,Expousure Metrics,float,Clarity.ai
maxexp_palm_oil_part,Expousure Metrics,float,Clarity.ai
maxexp_pork_products_part,Expousure Metrics,float,Clarity.ai
maxexp_pork_products_prod,Expousure Metrics,float,Clarity.ai
maxexp_pornography_part,Expousure Metrics,float,Clarity.ai
maxexp_predatory_lending_part,Expousure Metrics,float,Clarity.ai
maxexp_shale_energy_part,Expousure Metrics,float,Clarity.ai
maxexp_shale_energy_prod,Expousure Metrics,float,Clarity.ai
maxexp_small_arms_part,Expousure Metrics,float,Clarity.ai
maxexp_stem_cell_research,Expousure Metrics,float,Clarity.ai
maxexp_thermal_coal_prod,Expousure Metrics,float,Clarity.ai
maxexp_tobacco_part,Expousure Metrics,float,Clarity.ai
maxexp_tobacco_prod,Expousure Metrics,float,Clarity.ai
maxexp_white_phosporus_part,Expousure Metrics,float,Clarity.ai
minexp_abortifacents_part,Expousure Metrics,float,Clarity.ai
minexp_agrochemical_products_part,Expousure Metrics,float,Clarity.ai
minexp_agrochemical_products_prod,Expousure Metrics,float,Clarity.ai
minexp_alchol_prod,Expousure Metrics,float,Clarity.ai
minexp_alcohol_part,Expousure Metrics,float,Clarity.ai
minexp_animal_testing_cosmetic_part,Expousure Metrics,float,Clarity.ai
minexp_animal_testing_part,Expousure Metrics,float,Clarity.ai
minexp_antip_landmines_part,Expousure Metrics,float,Clarity.ai
minexp_armament_part,Expousure Metrics,float,Clarity.ai
minexp_armament_prod,Expousure Metrics,float,Clarity.ai
minexp_artic_oil_part,Expousure Metrics,float,Clarity.ai
minexp_cannabis_part,Expousure Metrics,float,Clarity.ai
minexp_chemic_biolog_weapons_part,Expousure Metrics,float,Clarity.ai
minexp_cluster_bombs_part,Expousure Metrics,float,Clarity.ai
minexp_cluster_bombs_prod,Expousure Metrics,float,Clarity.ai
minexp_coal_mining_part,Expousure Metrics,float,Clarity.ai
minexp_coal_mining_prod,Expousure Metrics,float,Clarity.ai
minexp_coal_power_gen_part,Expousure Metrics,float,Clarity.ai
minexp_coal_power_gen_prod,Expousure Metrics,float,Clarity.ai
minexp_contraceptives_part,Expousure Metrics,float,Clarity.ai
minexp_depleted_uranium_part,Expousure Metrics,float,Clarity.ai
minexp_embryonic_stem_cell_research_part,Expousure Metrics,float,Clarity.ai
minexp_fossil_fuels_part,Expousure Metrics,float,Clarity.ai
minexp_fossil_fuels_prod,Expousure Metrics,float,Clarity.ai
minexp_fur_exotic_leather_part,Expousure Metrics,float,Clarity.ai
minexp_gambling_part,Expousure Metrics,float,Clarity.ai
minexp_gambling_prod,Expousure Metrics,float,Clarity.ai
minexp_gas_fuels_part,Expousure Metrics,float,Clarity.ai
minexp_gas_fuels_prod,Expousure Metrics,float,Clarity.ai
minexp_gmo_products_part,Expousure Metrics,float,Clarity.ai
minexp_gmo_research_part,Expousure Metrics,float,Clarity.ai
minexp_meat_products_part,Expousure Metrics,float,Clarity.ai
minexp_meat_products_prod,Expousure Metrics,float,Clarity.ai
minexp_nuclear_energy_part,Expousure Metrics,float,Clarity.ai
minexp_nuclear_energy_prod,Expousure Metrics,float,Clarity.ai
minexp_nuclear_weapons_part,Expousure Metrics,float,Clarity.ai
minexp_nuclear_weapons_prod,Expousure Metrics,float,Clarity.ai
minexp_oil_fuels_part,Expousure Metrics,float,Clarity.ai
minexp_oil_fuels_prod,Expousure Metrics,float,Clarity.ai
minexp_oil_sands_part,Expousure Metrics,float,Clarity.ai
minexp_oil_sands_prod,Expousure Metrics,float,Clarity.ai
minexp_palm_oil_part,Expousure Metrics,float,Clarity.ai
minexp_pork_products_part,Expousure Metrics,float,Clarity.ai
minexp_pork_products_prod,Expousure Metrics,float,Clarity.ai
minexp_pornography_part,Expousure Metrics,float,Clarity.ai
minexp_predatory_lending_part,Expousure Metrics,float,Clarity.ai
minexp_shale_energy_part,Expousure Metrics,float,Clarity.ai
minexp_shale_energy_prod,Expousure Metrics,float,Clarity.ai
minexp_small_arms_part,Expousure Metrics,float,Clarity.ai
minexp_stem_cell_research,Expousure Metrics,float,Clarity.ai
minexp_thermal_coal_prod,Expousure Metrics,float,Clarity.ai
minexp_tobacco_part,Expousure Metrics,float,Clarity.ai
minexp_tobacco_prod,Expousure Metrics,float,Clarity.ai
minexp_white_phosporus_part,Expousure Metrics,float,Clarity.ai
nasdaq_bond_flag,Flag,string,NASDAQ
climate_policy,Group Policies,bool,Santander Group
defense_policy,Group Policies,bool,Santander Group
group_policy,Group Policies,bool,Santander Group
highest_controversy_level_answer_category,Controversy Metrics,int,Sustainalytics
overall_global_compact_compliance_status,Flag,string,Sustainalytics
